example_id                                                               | status | run_time        |
./spec/requests/swagger/imports_spec.rb[1:1:1:4:1]                       | passed | 0.01235 seconds |
./spec/requests/swagger/menu_items_spec.rb[1:1:1:1:1]                    | passed | 0.02069 seconds |
./spec/requests/swagger/menu_items_spec.rb[1:1:1:2:1]                    | passed | 0.01302 seconds |
./spec/requests/swagger/menu_items_spec.rb[1:2:1:1:1]                    | passed | 0.02988 seconds |
./spec/requests/swagger/menu_items_spec.rb[1:2:1:2:1]                    | passed | 0.01882 seconds |
./spec/requests/swagger/menus_spec.rb[1:1:1:1:1]                         | passed | 0.01365 seconds |
./spec/requests/swagger/menus_spec.rb[1:1:1:2:1]                         | passed | 0.00943 seconds |
./spec/requests/swagger/menus_spec.rb[1:2:1:1:1]                         | passed | 0.02602 seconds |
./spec/requests/swagger/menus_spec.rb[1:2:1:2:1]                         | passed | 0.02185 seconds |
./spec/requests/swagger/restaurants_spec.rb[1:1:1:1:1]                   | passed | 0.00908 seconds |
./spec/requests/swagger/restaurants_spec.rb[1:2:1:1:1]                   | passed | 0.01924 seconds |
./spec/requests/swagger/restaurants_spec.rb[1:2:1:2:1]                   | passed | 0.00443 seconds |
./spec/requests/swagger/users_spec.rb[1:1:1:1:1]                         | passed | 0.00735 seconds |
./spec/requests/swagger/users_spec.rb[1:1:1:2:1]                         | passed | 0.01535 seconds |
./spec/requests/swagger/users_spec.rb[1:2:1:1:1]                         | passed | 0.01936 seconds |
./spec/requests/swagger/users_spec.rb[1:2:1:2:1]                         | passed | 0.00781 seconds |
./spec/requests/swagger/users_spec.rb[1:3:1:1:1]                         | passed | 0.02795 seconds |
./spec/requests/swagger/users_spec.rb[1:3:1:2:1]                         | passed | 0.00262 seconds |
./spec/serializers/api/v1/menu_collection_serializer_spec.rb[1:1:1]      | passed | 0.08598 seconds |
./spec/serializers/api/v1/menu_item_collection_serializer_spec.rb[1:1:1] | passed | 0.04306 seconds |
./spec/serializers/api/v1/menu_item_serializer_spec.rb[1:1:1]            | passed | 0.00667 seconds |
./spec/serializers/api/v1/menu_serializer_spec.rb[1:1:1]                 | passed | 0.01444 seconds |
./spec/services/imports/restaurant_tree_importer_spec.rb[1:1:1]          | passed | 0.0905 seconds  |
./spec/services/imports/restaurant_tree_importer_spec.rb[1:1:2]          | passed | 0.08561 seconds |
./spec/services/imports/restaurant_tree_importer_spec.rb[1:1:3]          | passed | 0.00928 seconds |
./spec/services/imports/restaurant_tree_importer_spec.rb[1:1:4]          | passed | 0.01403 seconds |
./spec/services/imports/restaurant_tree_importer_spec.rb[1:1:5]          | passed | 0.02522 seconds |
./spec/services/imports/restaurant_tree_importer_spec.rb[1:1:6]          | passed | 0.01903 seconds |
./spec/services/imports/restaurant_tree_importer_spec.rb[1:1:7]          | passed | 0.03333 seconds |
./spec/services/imports/restaurant_tree_importer_spec.rb[1:1:8]          | passed | 0.01472 seconds |
./spec/workers/imports/restaurant_tree_worker_spec.rb[1:1:1]             | passed | 0.0294 seconds  |
